gene_id	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31	PC32	PC33	PC34	PC35	PC36	PC37	PC38	PC39	PC40	PC41	PC42	PC43	PC44	PC45	PC46	PC47	PC48	PC49	PC50	PC51	PC52	PC53	PC54	PC55	PC56	PC57	PC58	PC59	PC60	PC61	PC62	PC63	PC64
ENSG00000167723	-8.457837	1.6259178	2.8188286	-0.7438701	-0.4973652	-0.24281183	-0.015688747	-0.96876204	0.06296302	-0.8257352	0.030089287	-0.80386	-0.9079234	-0.5919336	-0.1653311	0.49161798	-1.1160259	1.0361205	-1.1962953	1.2857137	1.1785859	0.21982136	1.1405181	-1.9087102	0.5690757	-0.13765875	-0.34970886	-1.0333049	-0.70106894	0.017515121	0.09252602	-0.47768703	1.4870577	-0.049990926	-1.6160188	-0.07317947	0.046177536	-0.5379635	-0.25495225	-0.28036356	-0.8400751	0.40910327	0.3120705	0.3216099	-0.4561053	-0.26497507	0.12455155	0.05739943	-0.21359673	0.011090551	0.27082983	-0.08346982	0.49401966	-0.35522282	0.20977479	0.31300625	0.28089038	-0.036645874	-0.66451806	-0.5341223	0.20596306	-0.71426487	-0.016612345	-0.08342993
ENSG00000267585	-12.633533	2.537889	0.25607187	-0.77436215	0.11547643	-0.018858453	-0.107919045	-0.07620916	0.990329	-0.27566284	0.057335332	-1.1376016	-0.13853681	-1.0897703	-1.2509887	0.47464862	-0.4487757	0.7591225	-0.13868234	-0.6030559	0.5287485	0.04824652	-0.13923284	0.06899159	0.33479112	0.21111798	0.32173902	0.31989542	0.11773952	-0.06203871	-0.29346105	-0.03563755	-0.005262929	0.2175193	-0.19191207	0.019753339	0.03207743	-0.036033157	0.16419864	-0.046926208	0.04343748	0.02408665	-0.12876527	-0.109010525	0.028028099	0.03935055	-0.1358903	-0.046134625	0.023179062	-0.08256013	0.011215345	-0.05988947	0.103232816	0.088538945	0.15626284	0.02147727	0.08552588	-0.06522323	-0.0003165087	-0.021349993	-0.047954388	-0.03451113	0.06554529	0.0047054235
ENSG00000242540	-12.628614	2.548018	0.25272533	-0.7876931	0.117009446	-0.02065054	-0.10751634	-0.0770211	0.99665016	-0.28436604	0.047541585	-1.1524206	-0.13697913	-1.0653988	-1.2312443	0.46463227	-0.4527305	0.765814	-0.14079614	-0.60293496	0.55030364	0.057124034	-0.14501767	0.07487948	0.35335305	0.23916478	0.33078793	0.3137502	0.108208954	-0.061274804	-0.28214017	-0.031346925	-0.00077122345	0.21695922	-0.18655185	0.016143493	0.032359343	-0.0490503	0.16475135	-0.048859365	0.046022553	0.034128975	-0.12635744	-0.11202579	0.030328294	0.034114115	-0.13592087	-0.049102195	0.025885377	-0.07746051	0.0061030528	-0.064839154	0.099814646	0.092389435	0.15097411	0.023565983	0.08303839	-0.06271027	0.0011406278	-0.0214113	-0.04926029	-0.035387713	0.06746425	0.004692861
ENSG00000251628	-12.354498	2.6637945	0.22633073	-0.75928056	-0.012495972	-0.031880375	-0.13133448	0.05322852	1.0206054	-0.24159099	0.03697248	-1.2149938	-0.11156257	-0.8895424	-1.2064891	0.47493458	-0.484022	0.79812354	-0.14395797	-0.5846533	0.46731383	0.065013885	-0.22235282	0.15928581	0.34923306	0.23545411	0.32485175	0.23418598	0.13760895	-0.056269433	-0.34895635	-0.011293705	0.115272254	0.22826406	-0.052714627	0.084924564	-0.03728532	-0.122059666	0.22308882	-0.022850113	0.08082662	0.0020165201	-0.14803185	-0.103934065	0.06417954	0.10540366	-0.1092837	-0.05003517	0.061825413	-0.078492776	0.03744601	-0.14811891	0.108166456	0.090009354	0.090328746	0.020703984	0.06957963	-0.042529803	0.035836484	0.006716351	-0.0026425598	-0.051941533	0.050686505	-0.017226946
ENSG00000258558	-12.279835	2.4205365	0.24909279	-0.6993251	0.09507691	-0.01106138	-0.10249627	-0.13182111	0.9533606	-0.29516056	0.025674477	-1.116849	-0.19019777	-1.0480145	-1.2118032	0.43988758	-0.4348577	0.72629	-0.1518581	-0.5207832	0.54910195	0.05970087	-0.09345616	0.11266012	0.40854916	0.16559702	0.30644232	0.23945278	0.117261395	-0.06551842	-0.25877276	-0.068996474	0.013715584	0.21400994	-0.16514282	0.007131243	0.06607366	-0.01883516	0.124251015	-0.05561658	0.0391279	0.020553423	-0.1344699	-0.09151027	0.003375586	0.01435817	-0.08815845	-0.046183586	0.026849506	-0.051422864	-0.028034529	-0.06599323	0.063242964	0.11185353	0.12894262	0.011925139	0.09455782	-0.067669004	0.0037049628	-0.03136576	-0.025569309	-0.022639005	0.03686014	0.016361417
ENSG00000249565	-12.085203	2.5229754	0.29118237	-0.6751196	-0.011456747	-0.054389387	-0.10659636	-0.116445765	0.8275582	-0.46654972	-0.12516749	-0.9363768	-0.29716116	-0.7011732	-0.24201897	-0.107643604	-0.38327184	0.774356	-0.22315437	-0.30173773	0.7134033	0.18966366	-0.083366886	0.06635959	0.2982175	0.28730947	0.33770478	0.2698532	0.12480493	-0.051095698	-0.37748894	0.00017642709	-0.09318653	0.1931807	-0.18090187	0.025962641	0.0063712373	-0.057938877	0.16347338	-0.058474075	0.08331798	0.053474724	-0.14689443	-0.074852414	0.043617617	0.020265851	-0.11795733	-0.0968174	0.014763657	-0.08633423	-0.02556101	-0.046015635	0.12610132	0.07928689	0.13942754	0.018099584	0.061988086	-0.027709978	-0.024506027	-0.017262882	-0.092914216	-0.03115244	0.094224595	0.054578822
ENSG00000221206	-12.659815	2.5321274	0.25790948	-0.78494763	0.117443435	-0.01983226	-0.10647084	-0.072723396	1.0002576	-0.2820035	0.052528854	-1.144347	-0.13504569	-1.0961003	-1.2538295	0.4703294	-0.4493468	0.7708591	-0.1383091	-0.6085055	0.53636163	0.050580297	-0.13944095	0.07306569	0.35015994	0.2228496	0.32822025	0.31505787	0.114392765	-0.061555818	-0.29168993	-0.034697957	-0.001693363	0.2172939	-0.19646934	0.01593381	0.03467148	-0.047690406	0.16953681	-0.04754873	0.04571519	0.036478266	-0.13075903	-0.110588886	0.029294092	0.035191175	-0.13523935	-0.050088044	0.027445335	-0.07919535	0.010595438	-0.059877876	0.09925987	0.09039944	0.15478241	0.023868414	0.084931806	-0.06357654	-0.0006830599	-0.021149883	-0.048301227	-0.03420073	0.0690207	0.0034405973
ENSG00000255186	-12.594157	2.508008	0.23364198	-0.8068009	0.1434678	0.003325846	-0.11010591	-0.07798586	0.9963892	-0.3274152	0.04030864	-1.1560079	-0.14625268	-1.0940102	-1.3066517	0.42258674	-0.4098963	0.7468677	-0.17261882	-0.59203154	0.57115126	0.043729365	-0.14578243	0.11469106	0.2889133	0.23726797	0.32268494	0.31272557	0.09683893	-0.06820084	-0.23343384	-0.048797246	0.0077902353	0.22038452	-0.19661859	0.003035428	0.05541949	-0.075222075	0.16730411	-0.028611908	0.02816081	0.03545223	-0.08874627	-0.11728413	0.0664091	0.019312536	-0.11886383	-0.049377352	0.023632456	-0.08111504	-0.0032817416	-0.056881797	0.09913598	0.094478816	0.13600343	0.020387275	0.07675482	-0.082091376	0.014596041	-0.039878864	-0.026654605	-0.04019131	0.054386865	0.01310294
ENSG00000264691	-12.656592	2.530775	0.25808954	-0.78527975	0.11754861	-0.019466389	-0.10683184	-0.07260936	1.0001568	-0.2812564	0.05222978	-1.1438892	-0.1360942	-1.0960581	-1.2535154	0.4709851	-0.44923675	0.76993483	-0.13806222	-0.6083691	0.53701377	0.050523855	-0.13970144	0.072122164	0.34963402	0.22191735	0.32836604	0.3154391	0.115448035	-0.061514873	-0.2917913	-0.035408117	-0.0017186303	0.21705614	-0.19525647	0.017783819	0.033783186	-0.0478082	0.16928142	-0.0472099	0.04566743	0.03641282	-0.12991473	-0.10980615	0.02949691	0.034492943	-0.13383923	-0.04941116	0.026632272	-0.07914454	0.0105389785	-0.059920244	0.09861223	0.08959208	0.15383579	0.025051037	0.08602444	-0.064691976	-0.00018240963	-0.021369332	-0.048150524	-0.033980377	0.068988636	0.0036552956
ENSG00000232292	-12.630315	2.5227988	0.25885424	-0.7809918	0.12029987	-0.02283704	-0.10627923	-0.07973828	0.9900024	-0.2747869	0.05738761	-1.1405307	-0.1382476	-1.0955157	-1.2528442	0.48566347	-0.44834822	0.75842494	-0.13682918	-0.5992497	0.53940195	0.04723884	-0.13815518	0.06330522	0.3434455	0.21363492	0.3253137	0.31170708	0.114521146	-0.061600965	-0.29426795	-0.03851804	-0.0058812737	0.21404073	-0.18611786	0.023380416	0.042477068	-0.038372252	0.1649484	-0.043707844	0.042200472	0.02903731	-0.1337985	-0.11982044	0.026300235	0.039727736	-0.13253865	-0.05246873	0.030374387	-0.07864209	0.01144394	-0.058476698	0.103529066	0.08302776	0.15424329	0.021155564	0.09351083	-0.06413473	0.001896809	-0.014674606	-0.037677173	-0.026933748	0.06615706	0.004955018
