gene_id,gene_idx
ENSG00000178031,289
ENSG00000197859,290
ENSG00000156218,291
ENSG00000143382,292
ENSG00000185761,293
ENSG00000105963,294
ENSG00000184060,295
ENSG00000160710,296
ENSG00000197381,297
ENSG00000185736,298
ENSG00000065457,299
ENSG00000189007,300
ENSG00000213638,301
ENSG00000063761,302
ENSG00000133597,303
ENSG00000173137,304
ENSG00000164742,305
ENSG00000078295,306
ENSG00000138031,307
ENSG00000129467,308
ENSG00000173175,309
ENSG00000174233,310
ENSG00000121281,311
ENSG00000155897,312
ENSG00000162104,313
ENSG00000143199,314
ENSG00000141433,315
ENSG00000078549,316
ENSG00000087274,317
ENSG00000075340,318
ENSG00000148700,319
ENSG00000118492,320
ENSG00000197177,321
ENSG00000020181,322
ENSG00000152990,323
ENSG00000181790,324
ENSG00000121753,325
ENSG00000135298,326
ENSG00000111452,327
ENSG00000180264,328
ENSG00000174837,329
ENSG00000127507,330
ENSG00000131355,331
ENSG00000123146,332
ENSG00000153292,333
ENSG00000173567,334
ENSG00000153294,335
ENSG00000069122,336
ENSG00000205336,337
ENSG00000173698,338
ENSG00000182885,339
ENSG00000156920,340
ENSG00000159618,341
ENSG00000112414,342
ENSG00000144820,343
ENSG00000072071,344
ENSG00000117114,345
ENSG00000150471,346
ENSG00000162618,347
ENSG00000164199,348
ENSG00000187758,349
ENSG00000196616,350
ENSG00000248144,351
ENSG00000198099,352
ENSG00000197894,353
ENSG00000172955,354
ENSG00000196344,355
ENSG00000147576,356
ENSG00000182551,357
ENSG00000182035,358
ENSG00000181092,359
ENSG00000159346,360
ENSG00000006831,361
ENSG00000148671,362
ENSG00000101220,363
ENSG00000156110,364
ENSG00000148926,365
ENSG00000128165,366
ENSG00000224420,367
ENSG00000101126,368
ENSG00000101544,369
ENSG00000181915,370
ENSG00000163485,371
ENSG00000128271,372
ENSG00000170425,373
ENSG00000282608,374
ENSG00000159322,375
ENSG00000144843,376
ENSG00000153531,377
ENSG00000170222,378
ENSG00000116863,379
ENSG00000120907,380
ENSG00000170214,381
ENSG00000171873,382
ENSG00000150594,383
ENSG00000274286,384
ENSG00000184160,385
ENSG00000043591,386
ENSG00000169252,387
ENSG00000188778,388
ENSG00000130706,389
ENSG00000239900,390
ENSG00000185100,391
ENSG00000035687,392
ENSG00000111863,393
ENSG00000106624,394
ENSG00000139154,395
ENSG00000181026,396
ENSG00000196526,397
ENSG00000157510,398
ENSG00000169129,399
ENSG00000130396,400
ENSG00000172493,401
ENSG00000155966,402
ENSG00000144218,403
ENSG00000072364,404
ENSG00000135537,405
ENSG00000145375,406
ENSG00000171763,407
ENSG00000141385,408
ENSG00000079557,409
ENSG00000183077,410
ENSG00000081051,411
ENSG00000119844,412
ENSG00000038002,413
ENSG00000157985,414
ENSG00000135439,415
ENSG00000133612,416
ENSG00000188234,417
ENSG00000172650,418
ENSG00000204149,419
,420
ENSG00000204172,421
,422
ENSG00000273540,423
ENSG00000165923,424
ENSG00000146856,425
ENSG00000186094,426
ENSG00000084693,427
ENSG00000204305,428
ENSG00000173744,429
ENSG00000106351,430
ENSG00000164252,431
ENSG00000006530,432
ENSG00000162688,433
ENSG00000116771,434
ENSG00000187546,435
ENSG00000092847,436
ENSG00000123908,437
ENSG00000126070,438
ENSG00000134698,439
ENSG00000204310,440
ENSG00000169692,441
ENSG00000160216,442
ENSG00000026652,443
ENSG00000155189,444
ENSG00000018510,445
ENSG00000106541,446
ENSG00000173467,447
ENSG00000188157,448
ENSG00000159723,449
ENSG00000135744,450
ENSG00000135049,451
ENSG00000144891,452
ENSG00000180772,453
ENSG00000177674,454
ENSG00000172482,455
ENSG00000113492,456
ENSG00000153207,457
ENSG00000101444,458
ENSG00000168710,459
ENSG00000158467,460
ENSG00000126705,461
ENSG00000135541,462
ENSG00000124942,463
ENSG00000185567,464
ENSG00000106546,465
ENSG00000063438,466
ENSG00000100591,467
ENSG00000145192,468
ENSG00000169877,469
ENSG00000111732,470
ENSG00000186063,471
ENSG00000204472,472
ENSG00000126878,473
ENSG00000156709,474
ENSG00000042286,475
ENSG00000183773,476
ENSG00000146416,477
ENSG00000163568,478
ENSG00000164022,479
ENSG00000106305,480
ENSG00000110711,481
ENSG00000129221,482
ENSG00000160224,483
ENSG00000116922,484
ENSG00000196581,485
ENSG00000232434,486
ENSG00000129474,487
ENSG00000106992,488
ENSG00000004455,489
ENSG00000147853,490
ENSG00000162433,491
ENSG00000154027,492
ENSG00000085231,493
ENSG00000140057,494
ENSG00000165695,495
ENSG00000155085,496
ENSG00000231824,497
ENSG00000121057,498
ENSG00000111254,499
ENSG00000147081,500
ENSG00000179841,501
ENSG00000151320,502
ENSG00000118507,503
ENSG00000105127,504
ENSG00000011243,505
ENSG00000127914,506
ENSG00000108599,507
ENSG00000023516,508
ENSG00000131016,509
ENSG00000170776,510
ENSG00000186471,511
,512
,513
ENSG00000166452,514
ENSG00000174574,515
ENSG00000135334,516
ENSG00000106948,517
ENSG00000162641,518
ENSG00000117448,519
ENSG00000085662,520
ENSG00000198074,521
ENSG00000227471,522
ENSG00000187134,523
ENSG00000151632,524
ENSG00000196139,525
ENSG00000198610,526
ENSG00000264006,527
ENSG00000122787,528
ENSG00000165568,529
ENSG00000053371,530
ENSG00000162482,531
ENSG00000211454,532
ENSG00000142208,533
ENSG00000204673,534
ENSG00000105221,535
ENSG00000117020,536
ENSG00000166971,537
ENSG00000148218,538
ENSG00000023330,539
ENSG00000158578,540
ENSG00000163631,541
ENSG00000170017,542
ENSG00000165092,543
ENSG00000128918,544
ENSG00000184254,545
ENSG00000137124,546
ENSG00000144908,547
ENSG00000136010,548
ENSG00000111275,549
ENSG00000108602,550
ENSG00000072210,551
ENSG00000006534,552
ENSG00000132746,553
ENSG00000159423,554
ENSG00000112294,555
ENSG00000119711,556
ENSG00000164904,557
ENSG00000118514,558
ENSG00000143149,559
ENSG00000161618,560
ENSG00000059573,561
ENSG00000149925,562
ENSG00000136872,563
ENSG00000109107,564
ENSG00000033011,565
ENSG00000251287,566
ENSG00000119523,567
ENSG00000214160,568
ENSG00000120697,569
ENSG00000088035,570
ENSG00000159063,571
ENSG00000086848,572
ENSG00000139133,573
ENSG00000175548,574
ENSG00000253710,575
ENSG00000182858,576
ENSG00000101901,577
ENSG00000172339,578
ENSG00000171094,579
ENSG00000196711,580
ENSG00000189292,581
ENSG00000100601,582
ENSG00000189046,583
ENSG00000166199,584
ENSG00000160993,585
ENSG00000091542,586
ENSG00000239382,587
ENSG00000125652,588
ENSG00000137760,589
ENSG00000151360,590
ENSG00000116127,591
ENSG00000012779,592
ENSG00000132965,593
ENSG00000108839,594
ENSG00000179477,595
ENSG00000161905,596
ENSG00000179593,597
ENSG00000179148,598
ENSG00000163286,599
ENSG00000163295,600
ENSG00000073331,601
ENSG00000198796,602
ENSG00000136383,603
ENSG00000162551,604
ENSG00000163283,605
ENSG00000003393,606
ENSG00000178038,607
,608
,609
,610
,611
ENSG00000180318,612
ENSG00000156150,613
ENSG00000052850,614
ENSG00000183684,615
ENSG00000242110,616
ENSG00000178522,617
ENSG00000106927,618
ENSG00000110497,619
ENSG00000123505,620
ENSG00000139344,621
ENSG00000162066,622
ENSG00000125363,623
ENSG00000099721,624
ENSG00000184675,625
ENSG00000165566,626
ENSG00000178171,627
ENSG00000159461,628
ENSG00000104899,629
ENSG00000135409,630
ENSG00000181754,631
ENSG00000139211,632
ENSG00000176020,633
ENSG00000101935,634
ENSG00000144233,635
ENSG00000166126,636
ENSG00000151743,637
ENSG00000126016,638
ENSG00000166025,639
ENSG00000114019,640
ENSG00000116748,641
ENSG00000116337,642
ENSG00000133805,643
ENSG00000078053,644
ENSG00000145020,645
ENSG00000187689,646
ENSG00000237763,647
ENSG00000174876,648
ENSG00000187733,649
ENSG00000243480,650
ENSG00000240038,651
ENSG00000174945,652
ENSG00000196704,653
ENSG00000153107,654
ENSG00000176248,655
ENSG00000053900,656
ENSG00000089053,657
ENSG00000196510,658
ENSG00000164162,659
ENSG00000141552,660
ENSG00000129055,661
ENSG00000110200,662
ENSG00000166295,663
ENSG00000214274,664
ENSG00000013523,665
ENSG00000174606,666
ENSG00000154188,667
ENSG00000091879,668
ENSG00000101280,669
ENSG00000116194,670
ENSG00000136859,671
ENSG00000132855,672
ENSG00000167772,673
ENSG00000187151,674
ENSG00000130812,675
ENSG00000171819,676
ENSG00000130173,677
ENSG00000227059,678
ENSG00000029534,679
ENSG00000145362,680
ENSG00000151150,681
ENSG00000151687,682
ENSG00000166839,683
ENSG00000189045,684
ENSG00000132623,685
ENSG00000153930,686
ENSG00000185722,687
ENSG00000154122,688
ENSG00000131503,689
ENSG00000001629,690
ENSG00000170209,691
ENSG00000160117,692
ENSG00000176915,693
